:START_ID,:END_ID,first_year:INT,pub_count:INT,:TYPE
12,579,2015,1,coauthor
12,580,2015,1,coauthor
12,581,2015,1,coauthor
12,582,2015,1,coauthor
12,583,2015,1,coauthor
12,586,2015,1,coauthor
12,587,2015,1,coauthor
12,588,2015,1,coauthor
12,592,2015,1,coauthor
12,596,2015,1,coauthor
12,601,2015,1,coauthor
12,602,2015,1,coauthor
12,603,2015,1,coauthor
12,604,2015,1,coauthor
12,605,2015,1,coauthor
12,606,2015,1,coauthor
24,25,2015,1,coauthor
24,27,2015,1,coauthor
24,33,2015,1,coauthor
24,40,2015,1,coauthor
24,45,2015,1,coauthor
24,53,2015,1,coauthor
24,56,2015,1,coauthor
24,65,2015,1,coauthor
24,70,2015,1,coauthor
24,71,2015,1,coauthor
24,76,2015,1,coauthor
24,82,2015,1,coauthor
24,88,2015,1,coauthor
24,93,2015,1,coauthor
24,99,2015,1,coauthor
24,107,2015,1,coauthor
24,108,2015,1,coauthor
24,109,2015,1,coauthor
24,115,2015,1,coauthor
24,117,2015,1,coauthor
24,126,2015,1,coauthor
24,143,2015,1,coauthor
24,158,2015,1,coauthor
24,161,2015,1,coauthor
24,166,2015,1,coauthor
24,184,2015,1,coauthor
24,186,2015,1,coauthor
24,200,2015,1,coauthor
24,201,2015,1,coauthor
24,202,2015,1,coauthor
24,217,2015,1,coauthor
24,218,2015,1,coauthor
24,221,2015,1,coauthor
24,222,2015,1,coauthor
24,223,2015,1,coauthor
24,224,2015,1,coauthor
24,229,2015,1,coauthor
24,230,2015,1,coauthor
24,244,2015,1,coauthor
24,247,2015,1,coauthor
24,248,2015,1,coauthor
24,249,2015,1,coauthor
24,263,2015,1,coauthor
24,265,2015,1,coauthor
24,266,2015,1,coauthor
24,267,2015,1,coauthor
24,268,2015,1,coauthor
24,269,2015,1,coauthor
24,271,2015,1,coauthor
24,272,2015,1,coauthor
24,273,2015,1,coauthor
24,276,2015,1,coauthor
24,277,2015,1,coauthor
24,279,2015,1,coauthor
24,286,2015,1,coauthor
24,294,2015,1,coauthor
24,295,2015,1,coauthor
24,296,2015,1,coauthor
24,298,2015,1,coauthor
24,305,2015,1,coauthor
24,308,2015,1,coauthor
24,309,2015,1,coauthor
24,317,2015,1,coauthor
24,319,2015,1,coauthor
24,321,2015,1,coauthor
24,322,2015,1,coauthor
24,324,2015,1,coauthor
24,330,2015,1,coauthor
24,333,2015,1,coauthor
24,355,2015,1,coauthor
24,360,2015,1,coauthor
24,365,2015,1,coauthor
24,376,2015,1,coauthor
24,382,2015,1,coauthor
24,384,2015,1,coauthor
24,385,2015,1,coauthor
24,392,2015,1,coauthor
24,397,2015,1,coauthor
24,398,2015,1,coauthor
24,404,2015,1,coauthor
